"ind","treatment","age","score","gender","experience","previous_exp","distance_majorcity","owns_motor","placement"
1,0,18,75,"F",0,0,3.56755605021732,1,0
2,1,19,73,"M",0,0,5.72695851060714,1,0
3,1,20,77,"M",1,16,8.39804231430161,0,1
4,0,20,71,"F",0,0,4.36467353270647,1,0
5,1,22,78,"F",0,0,5.34259391572792,1,0
6,1,20,76,"M",0,0,6.84247066943308,0,0
7,1,19,78,"F",0,0,3.62574683447958,1,0
8,1,22,74,"F",1,17,3.03077461856818,1,0
9,0,19,72,"F",0,0,3.26741526833139,0,0
10,1,18,70,"M",0,0,3.49359098940686,1,0
11,0,18,73,"F",0,0,4.03202993103448,1,0
12,0,19,68,"F",1,15,2.33950983239058,1,0
13,0,20,71,"M",1,17,6.09878047194441,1,0
14,0,21,78,"M",0,0,6.17477149516366,1,0
15,0,20,77,"F",0,0,1.44663179759712,1,0
16,1,22,73,"M",1,21,3.04818643358887,1,0
17,0,22,73,"F",1,22,3.11325550334082,0,0
18,1,20,83,"M",0,0,4.94021996014329,0,0
19,0,19,79,"M",0,0,5.26499988538705,0,0
20,0,20,80,"M",1,24,5.8880020233612,0,1
21,1,20,76,"F",1,23,5.37783571881797,1,1
22,1,19,71,"M",0,0,4.84954255965955,0,0
23,1,20,68,"F",1,21,7.71915758302513,0,1
24,1,18,84,"F",0,0,5.45896381421805,1,1
25,0,18,64,"M",0,0,6.88100554945566,0,0
26,0,20,71,"M",1,22,4.98182627000836,0,0
27,0,22,69,"F",1,20,4.82156520724371,0,0
28,1,19,85,"M",0,0,3.94919045264318,0,0
29,0,20,79,"M",0,0,4.6616702306888,1,0
30,0,18,81,"M",1,22,5.15623112790369,0,1
31,1,21,70,"M",0,0,5.90288643900532,1,0
32,0,22,77,"M",1,25,3.74077695557736,1,0
33,0,21,79,"F",1,17,8.87097891921749,1,1
34,1,22,83,"M",1,27,4.48869300186653,0,1
35,1,21,81,"M",0,0,3.73060281867372,1,0
36,1,21,87,"M",1,29,3.87618906571446,1,1
37,1,21,65,"F",0,0,0.643403807190252,1,0
38,0,20,78,"M",1,14,5.75338947730352,1,1
39,0,18,87,"M",0,0,3.60496701529657,1,0
40,0,19,77,"M",0,0,6.29530477327162,1,0
41,1,22,80,"M",0,0,5.76356742302999,0,0
42,0,20,69,"M",1,15,4.49910619513024,0,0
43,1,18,69,"M",1,18,6.45553557348025,0,1
44,0,21,77,"M",0,0,3.85314394072144,0,0
45,1,21,74,"F",1,23,4.51308102454275,1,1
46,1,21,79,"M",1,15,4.90363826320755,0,1
47,0,18,77,"F",0,0,6.92558691547331,1,0
48,0,18,74,"F",0,0,4.43657407333528,1,0
49,0,19,83,"F",0,0,2.33536250304864,0,0
50,0,18,78,"F",0,0,5.37120401733718,1,0
51,0,18,83,"F",0,0,2.91170740367072,1,0
52,0,19,81,"M",0,0,3.96218620678701,0,0
53,0,20,86,"F",1,19,2.08217602926678,1,0
